[Wed Jun 12 13:28:20.962023 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP Fatal error:  Access level to LaraManager\\Model\\TbCliente::$timestamps must be public (as in class Illuminate\\Database\\Eloquent\\Model) in /Users/carlosdasilva/Sites/laramanager/backend/app/Model/TbCliente.php on line 0, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963368 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP Stack trace:, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963422 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   1. {main}() /Users/carlosdasilva/Sites/laramanager/www/index.php:0, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963555 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   2. LaraManager\\Http\\Kernel->handle() /Users/carlosdasilva/Sites/laramanager/www/index.php:66, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963579 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   3. LaraManager\\Http\\Kernel->sendRequestThroughRouter() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963589 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   4. Illuminate\\Routing\\Pipeline->then() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963599 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   5. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:104, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963609 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963618 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   7. LaraManager\\Http\\Middleware\\CheckForMaintenanceMode->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963627 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   8. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:62, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963636 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP   9. Illuminate\\Routing\\Pipeline->Illuminate\\Pipeline\\{closure:/Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:140-169}() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://laramanager.dev.br/
[Wed Jun 12 13:28:20.963645 2019] [php7:notice] [pid 12035] [client 127.0.0.1:53105] PHP  10. Illuminate\\Foundation\\Http\\Middleware\\ValidatePostSize->handle() /Users/carlosdasilva/Sites/laramanager/backend/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:163, referer: http://laramanager.dev.br/
